Routes total,Elevation difference,Lifts total
36.6,733,9
18.3,230,19
4,261,2
15,973,4
21,214,28
12,655,8
5.8,530,6
4.6,216,6
2.9,292,2
2.2,164,3
8,807,11
8.4,470,8
9.3,415,9
2.5,75,1
3.5,240,4
4,210,4
2.5,590,2
2.5,440,2
3.7,150,5
11,391,10
6,160,4
3.7,264,4
1.9,151,3
1.7,215,4
4.6,462,5
2,162,2
1,152,2
5.6,276,5
5.5,152,3
3.8,200,3
3.3,100,2
3,220,6
4,116,3
6,196,5
2.5,145,2
1,170,1
2.6,260,3
1.9,196,2
2.1,201,2
2.4,207,4
2.8,146,2
1.1,250,2
2.2,325,3
1.3,332,4
1.4,260,1
2.3,168,3
2.2,130,3
3.5,169,4
3,300,4
3.4,156,4
20,600,10
34,1012,15
26,560,14
15.5,304,6
5,298,6
41,500,13
11.9,1396,6
27.5,190,21
4.7,365,4
8,416,9
16,260,9
20,720,10
8,125,8
17.6,479,12
8,210,7
12,849,4
2,205,2
12,640,2
3.6,500,2
15,370,8
4.3,166,5
2.5,250,6
0.8,56,2
284,1337,89
270,1266,70
100,683,25
110,1402,30
46,1030,10
17,721,8
42,1250,13
32,847,5
27.5,811,7
21,755,6
150,1652,58
119,1302,32
49,848,18
63,551,21
130,1226,53
115,982,32
55,1203,15
100,1879,28
55.2,1165,36
400,1417,63
63,1823,26
33,1460,8
40,1155,13
25,800,8
74,650,22
42.5,1438,7
27.5,973,8
86.4,1070,20
24,1390,7
20,1600,7
60,953,21
42,1201,11
20,1172,3
80,1100,22
100,1382,20
50,1787,11
105,1278,24
90.5,832,24
15.9,883,3
50,1108,11
30.4,426,8
52,1014,14
50.3,1200,12
50,1076,13
20.5,1158,6
37,1398,12
